Collocations analysis for "Manuskrypt Wojnicza" by Unknown

 occurs in 190 collocations
TDZSG occurs in 1 collocations
HCCOAR occurs in 1 collocations
OHAEAE occurs in 1 collocations
TOEAIRG occurs in 1 collocations
EDA0 occurs in 2 collocations
GHARO8G occurs in 1 collocations
SCDZCG occurs in 3 collocations
HOTOO occurs in 1 collocations
POES8AE occurs in 1 collocations
4ODTCO8G occurs in 1 collocations
8(00T|AS)G occurs in 1 collocations
OS0O occurs in 1 collocations
OHCC(8|C0)G occurs in 1 collocations
4ODG occurs in 107 collocations
OPZG occurs in 2 collocations
O88TCG occurs in 1 collocations
ODCCA occurs in 1 collocations
SO occurs in 98 collocations
4OCDCOR occurs in 1 collocations
FTO occurs in 3 collocations
OPAEDAM occurs in 2 collocations
ORT2CG occurs in 1 collocations
O4ODC8G occurs in 1 collocations
8ARM occurs in 1 collocations
4OPG occurs in 4 collocations
ETC8 occurs in 5 collocations
4OHAL occurs in 1 collocations
OPTCAEOE occurs in 1 collocations
2ORTCCG occurs in 1 collocations
TCD occurs in 4 collocations
PZOAE occurs in 2 collocations
4OORAR occurs in 1 collocations
8AIE( occurs in 1 collocations
FZCCG occurs in 1 collocations
(TC8G occurs in 1 collocations
OE8AE occurs in 3 collocations
OHODTO occurs in 1 collocations
GHTOK occurs in 1 collocations
ODCSCG occurs in 1 collocations
O(P|F)AK occurs in 1 collocations
DOEGDG occurs in 1 collocations
O8AEAR occurs in 1 collocations
GHCCOCG occurs in 1 collocations
ORGHAE occurs in 1 collocations
TCOKAK occurs in 1 collocations
OFT2G occurs in 1 collocations
HZOO occurs in 1 collocations
OPA occurs in 1 collocations
TCCHAK occurs in 1 collocations
DCC8AM occurs in 1 collocations
OHG(| occurs in 1 collocations
GSCC8AE occurs in 1 collocations
SC8TG occurs in 1 collocations
TODCCA occurs in 1 collocations
4OCCDA(M|N) occurs in 1 collocations
8 occurs in 25 collocations
8AEO2 occurs in 1 collocations
EODCCG occurs in 2 collocations
2AL occurs in 1 collocations
ODCCOEG occurs in 1 collocations
TCC2G occurs in 1 collocations
TCCOE8G occurs in 1 collocations
4OPAIK occurs in 1 collocations
SDZGE occurs in 1 collocations
OD0E occurs in 1 collocations
4CODCCG occurs in 1 collocations
4OPT28 occurs in 1 collocations
8GHSG occurs in 1 collocations
OETODAM occurs in 1 collocations
PSCO8G occurs in 5 collocations
DOEDG occurs in 1 collocations
TO8AEG occurs in 3 collocations
RO8CC8G occurs in 1 collocations
8ARODCCG occurs in 1 collocations
ODAE occurs in 84 collocations
O8AI8G occurs in 1 collocations
ODCAE occurs in 10 collocations
ETC8AR occurs in 2 collocations
TTCCG occurs in 1 collocations
)OHA(M|N) occurs in 1 collocations
OHTO8CCG occurs in 1 collocations
PTC8AIR2 occurs in 1 collocations
PO8AR occurs in 1 collocations
EDA occurs in 1 collocations
TADG occurs in 1 collocations
O)HAR occurs in 1 collocations
DOCAK occurs in 1 collocations
TCG2 occurs in 1 collocations
RTO occurs in 1 collocations
ORSG occurs in 1 collocations
TCK occurs in 2 collocations
SHTG occurs in 3 collocations
|)SCCG occurs in 1 collocations
POCCAM occurs in 1 collocations
4OAN occurs in 1 collocations
4OHCO8G occurs in 11 collocations
8OETCC8G occurs in 1 collocations
SAEOK occurs in 1 collocations
2OHCG occurs in 1 collocations
SDTCG occurs in 1 collocations
TOETOK occurs in 1 collocations
8EDAE occurs in 1 collocations
TC2 occurs in 19 collocations
8OE occurs in 85 collocations
TPZ8G occurs in 3 collocations
GFTCG occurs in 2 collocations
PSCG occurs in 1 collocations
POCODCCG occurs in 1 collocations
POEDCCG occurs in 1 collocations
GDCC8A(M|N) occurs in 1 collocations
GO8AM occurs in 1 collocations
RAIDTG occurs in 1 collocations
EDTOR occurs in 1 collocations
SO8AM occurs in 22 collocations
4ODC(|C)8G occurs in 1 collocations
ETCDZC8G occurs in 1 collocations
4ODCC8A(M|N) occurs in 2 collocations
TCCFG occurs in 1 collocations
TA8AM occurs in 1 collocations
DAOE occurs in 1 collocations
TCAEAM occurs in 1 collocations
TCDCK occurs in 1 collocations
PZG8G occurs in 1 collocations
OEDCC8A(M|N) occurs in 1 collocations
4OHOK occurs in 1 collocations
O8CC occurs in 1 collocations
8SCOR occurs in 3 collocations
C2 occurs in 1 collocations
DAI2 occurs in 1 collocations
EAROE occurs in 1 collocations
DCCCC2 occurs in 1 collocations
OHCSG occurs in 1 collocations
8GTG occurs in 1 collocations
8EE2 occurs in 1 collocations
OHECCG occurs in 1 collocations
OL occurs in 2 collocations
EDETCG occurs in 1 collocations
SCODCG occurs in 1 collocations
OHCCO occurs in 7 collocations
PZAE8G occurs in 1 collocations
SC08G occurs in 1 collocations
O8OR occurs in 5 collocations
HTOCP occurs in 1 collocations
EDAEOE occurs in 1 collocations
POAR occurs in 2 collocations
EOEG occurs in 6 collocations
OE8AR occurs in 5 collocations
ORAE occurs in 6 collocations
ORAROE occurs in 1 collocations
OEAMG occurs in 3 collocations
DTODTG occurs in 1 collocations
TDAR occurs in 12 collocations
PZC8AK occurs in 1 collocations
4OHC8ARG occurs in 1 collocations
4OTCO occurs in 1 collocations
E(C|O occurs in 1 collocations
OHCCOE occurs in 8 collocations
ET8G occurs in 17 collocations
OEE8G occurs in 1 collocations
8AROEK occurs in 1 collocations
TPA occurs in 1 collocations
(D|H)CO8AM occurs in 1 collocations
4OHO0 occurs in 1 collocations
S0G occurs in 1 collocations
8AEG occurs in 18 collocations
TCPTC8 occurs in 1 collocations
ROETG occurs in 2 collocations
8AEA occurs in 1 collocations
SCAEOE occurs in 1 collocations
4OHTCC8G occurs in 3 collocations
EE8G occurs in 2 collocations
SA8AM occurs in 1 collocations
ODOG occurs in 4 collocations
4ODCSCG occurs in 1 collocations
OEDCSG occurs in 2 collocations
4OPAK occurs in 1 collocations
TDG occurs in 16 collocations
IIRTAE occurs in 1 collocations
(D|H)CO occurs in 1 collocations
G8OEG occurs in 1 collocations
RE occurs in 1 collocations
S8PTG occurs in 1 collocations
GSOM occurs in 1 collocations
4ODZAE occurs in 1 collocations
TCC2 occurs in 27 collocations
8SCCG occurs in 7 collocations
HZC(C|)HG occurs in 1 collocations
8AE8AR occurs in 1 collocations
OC8AM occurs in 2 collocations
OOE occurs in 1 collocations
DAIT occurs in 1 collocations
DO2 occurs in 1 collocations
SCDOE occurs in 1 collocations
OHGDAE occurs in 1 collocations
TCCF occurs in 1 collocations
OEAE8G occurs in 2 collocations
8AETC8G occurs in 2 collocations
(0|T)DG occurs in 1 collocations
4OPOE occurs in 6 collocations
SCODA(M|N) occurs in 1 collocations
DZCCG occurs in 10 collocations
DSCOE occurs in 2 collocations
E8AEOR occurs in 1 collocations
ODTC occurs in 1 collocations
GDOE8G occurs in 1 collocations
TDZCO8G occurs in 2 collocations
TCC(A|V)E occurs in 1 collocations
SCCOE occurs in 12 collocations
OHAE occurs in 96 collocations
(T|S)OR occurs in 1 collocations
O(AM|GN) occurs in 1 collocations
2OEARAEG occurs in 1 collocations
AEAE occurs in 4 collocations
8ODTG occurs in 1 collocations
TCCDG occurs in 14 collocations
8ORAM occurs in 4 collocations
HZCAR occurs in 2 collocations
P occurs in 4 collocations
SDAR occurs in 1 collocations
THZ occurs in 4 collocations
SOAM occurs in 4 collocations
4ODZO8G occurs in 1 collocations
4O(| occurs in 1 collocations
AHZG occurs in 5 collocations
AETCCK occurs in 1 collocations
2OHOIM occurs in 1 collocations
GPTOEG occurs in 1 collocations
FTCCG occurs in 3 collocations
OHCC8TCG occurs in 1 collocations
GDTOR occurs in 4 collocations
EOG occurs in 1 collocations
SODCG occurs in 2 collocations
4OCCA occurs in 1 collocations
4OA(M|N) occurs in 2 collocations
OD(C|)TC(|C)G occurs in 1 collocations
4OHCAR occurs in 2 collocations
EEAMRG occurs in 1 collocations
4ODOETC8G occurs in 1 collocations
THZC8 occurs in 1 collocations
4OD(CC|A)G occurs in 1 collocations
PT8 occurs in 1 collocations
EDCC8AR occurs in 2 collocations
ETOE( occurs in 1 collocations
OEDAN occurs in 6 collocations
SCPT8G occurs in 1 collocations
SDZCG occurs in 11 collocations
4ODSCO occurs in 2 collocations
PO2AIRG occurs in 1 collocations
4OHAEG occurs in 6 collocations
TGDAE8 occurs in 1 collocations
ESOR occurs in 1 collocations
AKTG occurs in 1 collocations
8TCCG occurs in 11 collocations
4OPTOR occurs in 3 collocations
OFAM occurs in 3 collocations
GTO2 occurs in 1 collocations
G( occurs in 1 collocations
2A(IR|N) occurs in 1 collocations
4OPG8AM occurs in 1 collocations
AIRO8E occurs in 1 collocations
4OHT(O|A)R occurs in 1 collocations
GPTC(C|)8G occurs in 1 collocations
CAIR occurs in 1 collocations
8A8AK occurs in 1 collocations
4DCOE occurs in 1 collocations
4OPTAK occurs in 1 collocations
GDADG occurs in 1 collocations
GSCCO8 occurs in 1 collocations
HAK occurs in 6 collocations
HZCG occurs in 53 collocations
TOHC8G occurs in 1 collocations
TC(O|A)R occurs in 1 collocations
8OHCCG occurs in 1 collocations
8TCFOCG occurs in 1 collocations
ETK occurs in 2 collocations
OHAESC8G occurs in 1 collocations
OHS8AM occurs in 1 collocations
OETCO8G occurs in 2 collocations
ADAIR occurs in 1 collocations
OEGG occurs in 1 collocations
TGPTAK occurs in 1 collocations
HZOEG occurs in 3 collocations
8GHTOR occurs in 1 collocations
4ODCCSG occurs in 1 collocations
4DAIR occurs in 1 collocations
ODCCOE occurs in 15 collocations
GPTOFZG occurs in 1 collocations
GDCCCO2 occurs in 1 collocations
|)DCC8G occurs in 2 collocations
TAE8G occurs in 1 collocations
GDTCO occurs in 1 collocations
CHG8 occurs in 1 collocations
2DORG occurs in 1 collocations
EOCCG occurs in 1 collocations
8GHCCG occurs in 2 collocations
8TOE8 occurs in 1 collocations
OA(M|IR) occurs in 1 collocations
4OCC8 occurs in 1 collocations
FA8AE occurs in 1 collocations
DCO occurs in 5 collocations
4ODTE occurs in 1 collocations
TC2CG occurs in 1 collocations
8DCCG occurs in 1 collocations
GHCCG occurs in 22 collocations
OE8TDZG occurs in 1 collocations
SCG(DOK occurs in 1 collocations
OEOR8 occurs in 1 collocations
HCC8AE occurs in 2 collocations
GPTAR occurs in 1 collocations
OEDCCGOEOR occurs in 1 collocations
GTO2AR occurs in 1 collocations
DZCCO2 occurs in 1 collocations
TCODAR occurs in 1 collocations
OPTAEOR occurs in 1 collocations
GHCAR occurs in 1 collocations
4OHC8(| occurs in 1 collocations
4OHOHZCG occurs in 1 collocations
OEDCCT8G occurs in 1 collocations
PZO occurs in 2 collocations
4ODAIM occurs in 1 collocations
PCG occurs in 1 collocations
FTC8G2 occurs in 1 collocations
8TCO8AN occurs in 1 collocations
OEEOK occurs in 1 collocations
HZ8CG occurs in 1 collocations
TPZCOR occurs in 1 collocations
GFOR occurs in 1 collocations
TAHAM occurs in 1 collocations
4ODAEAK occurs in 1 collocations
POROE occurs in 1 collocations
DZG82 occurs in 1 collocations
ESCAR occurs in 1 collocations
GHCG occurs in 11 collocations
4ODTAM occurs in 2 collocations
GPTC2G occurs in 1 collocations
HZORTG occurs in 1 collocations
HTO8AE occurs in 1 collocations
DCTG occurs in 4 collocations
O8AL occurs in 2 collocations
2TCCOE occurs in 1 collocations
TDTO8 occurs in 1 collocations
ED(|C)G occurs in 1 collocations
TGDAR occurs in 1 collocations
8AIK8 occurs in 1 collocations
TODZOR occurs in 2 collocations
R occurs in 43 collocations
GTOCC2 occurs in 1 collocations
DO8AM occurs in 3 collocations
TRTRA occurs in 1 collocations
TOEDAE occurs in 1 collocations
4OHCOR occurs in 4 collocations
SAII8G occurs in 1 collocations
4OPC8G occurs in 1 collocations
OESHG occurs in 1 collocations
4OHTAM occurs in 2 collocations
T8O2 occurs in 1 collocations
OPTCCAR occurs in 1 collocations
HO8AEAN occurs in 1 collocations
E2AI2 occurs in 1 collocations
TDCCO8G occurs in 1 collocations
ORTAM occurs in 1 collocations
DTA occurs in 1 collocations
ODCA occurs in 2 collocations
OEFG occurs in 1 collocations
GTO occurs in 5 collocations
PO8CCTO occurs in 1 collocations
O(H|R)AE occurs in 1 collocations
4OIRAM occurs in 1 collocations
8OAR occurs in 1 collocations
D occurs in 5 collocations
SDZC8 occurs in 1 collocations
DAIRAK occurs in 2 collocations
2GSCC2 occurs in 1 collocations
FSC8A occurs in 1 collocations
TOFTOE occurs in 1 collocations
8GDCOR occurs in 1 collocations
GSC8AIR occurs in 1 collocations
2ODAE occurs in 1 collocations
FTC8G occurs in 8 collocations
HORSOR occurs in 1 collocations
DT8AE8G occurs in 1 collocations
2OOHZ occurs in 1 collocations
4OFSCG occurs in 1 collocations
ETDZG occurs in 1 collocations
4ODCC7G occurs in 1 collocations
HZC2 occurs in 1 collocations
EDCC2 occurs in 1 collocations
ODO8CDAM occurs in 1 collocations
ARAE8 occurs in 1 collocations
4ODOG occurs in 1 collocations
SCA occurs in 3 collocations
4CPOCPG occurs in 1 collocations
E8G occurs in 21 collocations
28AE occurs in 1 collocations
4DOE occurs in 2 collocations
GDOAM occurs in 1 collocations
ODG8G occurs in 1 collocations
PS8AM occurs in 1 collocations
G8AM occurs in 21 collocations
OPORAR occurs in 1 collocations
GD8G occurs in 1 collocations
SHSCOE occurs in 1 collocations
)2AM occurs in 1 collocations
8TCCOE occurs in 1 collocations
AE occurs in 137 collocations
EDETCOE occurs in 1 collocations
GSCO8 occurs in 2 collocations
4ODTOE occurs in 17 collocations
OE8CCG occurs in 1 collocations
GPTC88G occurs in 1 collocations
PZCG occurs in 9 collocations
4OHC8AIR occurs in 1 collocations
)ODC(C8|0)T(2|S)G occurs in 1 collocations
4OTCOHG occurs in 1 collocations
SCHZG occurs in 19 collocations
2O8G occurs in 4 collocations
TCOG occurs in 2 collocations
HCCO8G occurs in 4 collocations
SC(O|A)R occurs in 1 collocations
OEDAE occurs in 12 collocations
2AM occurs in 155 collocations
(D|H)TAM occurs in 1 collocations
TPT2 occurs in 1 collocations
AETCCG occurs in 1 collocations
4OPOEDAM occurs in 1 collocations
OEEAM occurs in 1 collocations
PSC8G occurs in 3 collocations
SCCDAR occurs in 2 collocations
8AESC8G occurs in 1 collocations
O4OHAR occurs in 1 collocations
ANR occurs in 3 collocations
SS8AR occurs in 1 collocations
HAE occurs in 27 collocations
OPTCCO occurs in 1 collocations
SOSG occurs in 3 collocations
PG8AEG occurs in 1 collocations
)A(|I)M occurs in 1 collocations
8AE8G occurs in 16 collocations
OAE8ARG occurs in 1 collocations
2OE occurs in 55 collocations
OE2AM occurs in 3 collocations
POESOR occurs in 1 collocations
S8AIR occurs in 2 collocations
OGDTOR occurs in 1 collocations
AAM occurs in 1 collocations
S(O|A occurs in 1 collocations
TOPTOE occurs in 1 collocations
4O8A(M|N) occurs in 1 collocations
4DOE8G occurs in 1 collocations
APTCO occurs in 1 collocations
DARA(M|N)G occurs in 1 collocations
4ODCC8 occurs in 12 collocations
2E occurs in 1 collocations
TCOETCG occurs in 1 collocations
ETPZC8G occurs in 1 collocations
SOK occurs in 3 collocations
4OHT8AM occurs in 1 collocations
ODARAK occurs in 2 collocations
SFG occurs in 1 collocations
SCODC8 occurs in 1 collocations
GHCOR occurs in 4 collocations
ODC(|C)OR occurs in 1 collocations
4OETCG occurs in 9 collocations
CDTCCG occurs in 1 collocations
SCCA occurs in 1 collocations
EDTCOE occurs in 1 collocations
TCADG occurs in 1 collocations
EDE8G occurs in 1 collocations
HG8G occurs in 2 collocations
DARAK occurs in 1 collocations
8GDSG occurs in 1 collocations
OE(AK|) occurs in 1 collocations
2C8AM occurs in 1 collocations
4O(D|H)OE occurs in 1 collocations
OTCOHZCG occurs in 1 collocations
T8OE occurs in 3 collocations
S88G occurs in 1 collocations
TPTG occurs in 3 collocations
OEDCCCARG occurs in 1 collocations
TCRG occurs in 1 collocations
ODA00 occurs in 1 collocations
SOPZC8G occurs in 1 collocations
|)TC8G occurs in 1 collocations
HZC8G occurs in 13 collocations
ARTCOE occurs in 1 collocations
OESCC8G occurs in 1 collocations
4CCOG occurs in 1 collocations
O8AN occurs in 4 collocations
HTAM occurs in 1 collocations
TPAM occurs in 1 collocations
EE8AR occurs in 1 collocations
2AIROE occurs in 1 collocations
SCOHA0 occurs in 1 collocations
PZCGR occurs in 1 collocations
2AEE occurs in 1 collocations
TCO8A(0 occurs in 1 collocations
ARAIR occurs in 1 collocations
ES occurs in 1 collocations
|)DCCTG occurs in 2 collocations
ORODCCCCG occurs in 1 collocations
4OH2AM occurs in 1 collocations
4)O(|DCO8G{]} occurs in 1 collocations
FAR8AK occurs in 1 collocations
E4OHAR occurs in 1 collocations
PARORAM occurs in 1 collocations
OETOM occurs in 1 collocations
(| occurs in 3 collocations
(8|0)OROR occurs in 1 collocations
TSOHG occurs in 1 collocations
TETPSCCG occurs in 1 collocations
HO8G occurs in 9 collocations
EDCCAE occurs in 1 collocations
0CCOE occurs in 1 collocations
4PZCG occurs in 2 collocations
SC8AM occurs in 18 collocations
OHCCOAEG occurs in 1 collocations
HZ8 occurs in 1 collocations
8CCC2 occurs in 1 collocations
8TCO8 occurs in 1 collocations
ODA(M|L) occurs in 1 collocations
(0E|C occurs in 1 collocations
OPG8AM occurs in 3 collocations
DAK( occurs in 1 collocations
HZ8AEG occurs in 1 collocations
GDTAM occurs in 1 collocations
GDCODZCG occurs in 1 collocations
ODCCCO occurs in 2 collocations
DOTOR occurs in 1 collocations
HC8AIR occurs in 2 collocations
TC0G occurs in 1 collocations
PTCOE8OK occurs in 1 collocations
2(A|O)M occurs in 1 collocations
ODTAE occurs in 3 collocations
4OHAM occurs in 92 collocations
EHARG occurs in 2 collocations
TCGEOR occurs in 1 collocations
TOHT8G occurs in 2 collocations
8TO8AM occurs in 2 collocations
ORTR occurs in 1 collocations
HSOAR occurs in 1 collocations
SOHAM occurs in 1 collocations
GPSCOR occurs in 1 collocations
HCCTG occurs in 1 collocations
HZCCG occurs in 15 collocations
TDCG occurs in 7 collocations
TCODAM occurs in 3 collocations
OHCCAM occurs in 1 collocations
ODCO8SO occurs in 1 collocations
(O|)H(C|Z)8G occurs in 1 collocations
EHCC8G occurs in 5 collocations
(|T)P(Z|T)CCG occurs in 1 collocations
2DZCG occurs in 1 collocations
SO4ODG occurs in 1 collocations
ODCTG occurs in 5 collocations
ODCC occurs in 1 collocations
4ODCCA occurs in 1 collocations
OETCCAR occurs in 1 collocations
SCC(O|A)R occurs in 1 collocations
SCTOE occurs in 1 collocations
SHZAM occurs in 1 collocations
SCAM occurs in 8 collocations
EODAK occurs in 2 collocations
ODTC8AM occurs in 1 collocations
DC8G occurs in 45 collocations
4ODTODG occurs in 1 collocations
(G|O)RAR occurs in 1 collocations
PZAK occurs in 1 collocations
GCCCAR occurs in 1 collocations
HSODG occurs in 1 collocations
ES8G occurs in 2 collocations
8GC8G occurs in 1 collocations
SAL occurs in 5 collocations
TORG occurs in 12 collocations
OETC8 occurs in 3 collocations
TEE occurs in 3 collocations
TCDTCCG occurs in 1 collocations
(8AIR occurs in 1 collocations
TPTOE occurs in 1 collocations
4OFG occurs in 1 collocations
DSOEO occurs in 1 collocations
